Precision,Recall,Neg Log Loss,ROC AUC
0.8926623022367703,0.9771573604060914,0.361464191493683,0.6636937403817442
0.8931985796230538,0.9764108689160944,0.35968733611959286,0.6672316793761628
0.8932277444019662,0.9767094655120931,0.36052837749280425,0.6669402605829524
0.8926422319474836,0.9744699910421021,0.36199869582843813,0.6660304740795185
0.8937099194978851,0.9779038518960884,0.3588067729364879,0.6696190165835956
0.8929108045348996,0.9759629740220962,0.3593256384510281,0.6696130948962951
0.8934661028509071,0.9779038518960884,0.3592827656266897,0.6630048507591244
0.8930963773069036,0.9753657808300985,0.3608172005484047,0.670834398040747
0.8938149972632731,0.9752164825320991,0.36031230032562955,0.6675369154397409
0.8937448784485114,0.977008062108092,0.3609612834707657,0.6650842602269333
0.8929400518913014,0.9762615706180949,0.36155686561586514,0.6685658534694627
0.8934135009565455,0.9761122723200956,0.3625296903998377,0.6664457099708294
0.8931109896118097,0.975515079128098,0.3612644127564864,0.6677086443714542
0.8928912539227726,0.977008062108092,0.35945239688058456,0.6695411374233411
0.8928034958350403,0.9761122723200956,0.3612462452795096,0.6666902936008452
