,neg_log_loss-cv,accuracy-cv,precision-cv,recall-cv,f1_weighted-cv,roc_auc-cv,neg_log_loss,accuracy,precision,recall,f1_weighted,roc_auc
RandomForestClassifier,-0.5833988275686481,0.7313214562706889,0.7340809556358701,0.732632461531951,0.7323167154723933,0.8103532763808238,-0.5825297937237627,0.7335998624365919,0.7489006962257237,0.7028630384317771,0.7251519049097441,0.8121861961341101
XGBClassifier,-0.4990740807923929,0.7774910010073107,0.7806813927604803,0.7774910010073107,0.7768569095763469,0.8545671604282191,-0.4944545068988867,0.7800919955291893,0.811582420735498,0.7295589373226722,0.7683879292780658,0.8585346819627158
LGBMClassifier,-0.498643936092964,0.7777059992730214,0.7808179035002573,0.7777059992730214,0.7770882240921246,0.8549573100163655,-0.4947645630769309,0.7824993551715244,0.8165919930625813,0.7286561774567965,0.7701219927758468,0.8591842459811975
CatBoostClassifier,-0.5148697946014684,0.7662282389212924,0.7681933457193763,0.7662282389212924,0.7657977433766623,0.8412175172484634,-0.5126146151560423,0.7685710600980139,0.7942076760065929,0.725002149428252,0.7580286311436726,0.843698285330988
LogisticRegression,-0.4790036048672164,0.779920022197423,0.7809142774614269,0.779920022197423,0.7797251692092729,0.8562269995636752,-0.47622770741376647,0.7814031467629611,0.7985769020251778,0.7526437967500644,0.774930288142345,0.8578944097723242
