,seed,best_logloss,best_num_trees
0,0,0.01485862870118808,996
1,1,0.00985395987083469,998
2,2,0.2435052293682626,166
3,3,0.06182116078368078,104
4,4,0.1940111766840952,328
5,5,0.05983017229785522,89
6,6,0.21634469043201535,300
7,7,0.5696602622667949,8
8,8,0.18172570103779434,69
9,9,0.06438829844313053,194
10,10,0.07428078702456939,397
11,11,0.05456576538660253,125
12,12,0.16302287046952793,86
13,13,0.04481930704593348,181
14,14,0.5060076842705409,13
