,neg_log_loss,accuracy,precision,recall,f1_weighted,roc_auc
RandomForestClassifier,-0.5834808274698681,0.7315148983477409,0.7327976341140472,0.7319447470441781,0.7332454803935375,0.8107888482501593
XGBClassifier,-0.4990740807923929,0.7774910010073107,0.7806813927604803,0.7774910010073107,0.7768569095763469,0.8545671604282191
LGBMClassifier,-0.498643936092964,0.7777059992730214,0.7808179035002573,0.7777059992730214,0.7770882240921246,0.8549573100163655
CatBoostClassifier,-0.5141616768608299,0.7655403165405728,0.7676790942222426,0.7655403165405728,0.7650708379439422,0.8420059725325325
LogisticRegression,-0.4790036048672164,0.779920022197423,0.7809142774614269,0.779920022197423,0.7797251692092729,0.8562269995636752
