iter	Logloss
0	0.6322964268
1	0.5795343726
2	0.5315737488
3	0.4930058888
4	0.4551195864
5	0.4222178899
6	0.3957243907
7	0.3713772466
8	0.3518562911
9	0.3331978552
10	0.318886609
11	0.3076491545
12	0.2969636488
13	0.2878032396
14	0.2791114908
15	0.2716018087
16	0.2649209857
17	0.2594167242
18	0.2548239676
19	0.2514699872
20	0.2472012316
21	0.2442129747
22	0.2418092106
23	0.2390398759
24	0.2366758365
25	0.2347816739
26	0.2330643206
27	0.2315987011
28	0.2301676207
29	0.2284765703
30	0.2271689404
31	0.2260166458
32	0.2250117472
33	0.2242074448
34	0.2232889193
35	0.2224475154
36	0.221718527
37	0.2208475448
38	0.2202060146
39	0.2193532611
40	0.2188426623
41	0.218325523
42	0.2177829123
43	0.217187129
44	0.2167820517
45	0.2164018806
46	0.2155497709
47	0.2151299879
48	0.214762613
49	0.2145078585
50	0.2142415193
51	0.2140240525
52	0.2137565621
53	0.2134727373
54	0.2131094212
55	0.2127799708
56	0.212490093
57	0.2121742516
58	0.2119179872
59	0.2116865236
60	0.2114842646
61	0.2113113773
62	0.211102524
63	0.2106668422
64	0.2104814042
65	0.2101521079
66	0.2100008537
67	0.2098335456
68	0.2096659652
69	0.2095044984
70	0.2093204144
71	0.2091671785
72	0.2090666092
73	0.2088681878
74	0.2087760602
75	0.2083306935
76	0.208048735
77	0.2078378953
78	0.2076054246
79	0.2074563486
80	0.20726235
81	0.2071838228
82	0.206902662
83	0.2066731942
84	0.2065390822
85	0.2064678725
86	0.2063373222
87	0.2062338786
88	0.2061682267
89	0.2060516397
90	0.205966429
91	0.2058245041
92	0.2056220658
93	0.2055204556
94	0.2052893718
95	0.2051873282
96	0.205106956
97	0.2049644182
98	0.2048709157
99	0.204799821
100	0.2047088521
101	0.2046133231
102	0.2045405902
103	0.2044858322
104	0.2043896774
105	0.2041215489
106	0.2037979249
107	0.203716436
108	0.2035733568
109	0.2034773552
110	0.2033713511
111	0.2031424965
112	0.2031117053
113	0.2029988058
114	0.2028623911
115	0.2028025181
116	0.2027279014
117	0.2026775995
118	0.2026556335
119	0.2023012499
120	0.2022459287
121	0.2022151239
122	0.2021694187
123	0.2020792756
124	0.2019926504
125	0.2018792107
126	0.2017953972
127	0.2016505691
128	0.2015636664
129	0.2014918328
130	0.201346683
131	0.2011417933
132	0.2010971339
133	0.201029536
134	0.2009926276
135	0.2009243311
136	0.2008883665
137	0.2007884586
138	0.2007532478
139	0.2006862106
140	0.2005600417
141	0.2005245353
142	0.2004967966
143	0.2003964647
144	0.2003807637
145	0.2003313534
146	0.2002368285
147	0.2001373828
148	0.2000071198
149	0.1999474017
150	0.1998966397
151	0.1998175191
152	0.1997509969
153	0.1996841793
154	0.1995865184
155	0.1992676118
156	0.1992184194
157	0.199182779
158	0.1991500895
159	0.1990755179
160	0.1988805786
161	0.198836929
162	0.1987851184
163	0.1986725912
164	0.1986352098
165	0.1985147187
166	0.1984862556
167	0.1984322263
168	0.1983891934
169	0.1983136957
170	0.1983014377
171	0.1981802754
172	0.1981496667
173	0.1980965073
174	0.1979466149
175	0.197876608
176	0.1977914793
177	0.1977287352
178	0.1975331403
179	0.1974724886
180	0.1974286259
181	0.1973422939
182	0.19729742
183	0.1972472739
184	0.197166475
185	0.1971107339
186	0.1970503477
187	0.1969817289
188	0.1969047017
189	0.1967493962
190	0.1967125132
191	0.196657659
192	0.1965703558
193	0.1965357081
194	0.1964630975
195	0.1964171279
196	0.1963950405
197	0.1962651783
198	0.1962243836
199	0.1961246069
200	0.1960088999
201	0.195959256
202	0.1959005999
203	0.1958912683
204	0.1958912523
205	0.195861838
206	0.1957872018
207	0.1956981531
208	0.1956406279
209	0.1955585409
210	0.1953904469
211	0.1953643987
212	0.1952764927
213	0.1952646375
214	0.1952106824
215	0.1951658291
216	0.1951178789
217	0.1950656112
218	0.1949444147
219	0.1948141006
220	0.1947744615
221	0.194720674
222	0.1947150153
223	0.1946808352
224	0.1946598367
225	0.1946036616
226	0.1945164522
227	0.194462138
228	0.1942597832
229	0.1942119046
230	0.1941749964
231	0.1941258454
232	0.194028256
233	0.1940165375
234	0.1939280031
235	0.1938950355
236	0.1937997962
237	0.1937112847
238	0.1936496062
239	0.1935611388
240	0.193526608
241	0.1934648729
242	0.1934445712
243	0.193371954
244	0.1933162605
245	0.1933104877
246	0.1932343182
247	0.1931568413
248	0.1931007533
249	0.1930843087
250	0.1929827764
251	0.1928359719
252	0.1927441095
253	0.1926575522
254	0.1925855517
255	0.1925455698
256	0.192439535
257	0.1923748371
258	0.1923687628
259	0.1923113672
260	0.1922226726
261	0.1922173401
262	0.192125926
263	0.1921024181
264	0.1919888359
265	0.1918924081
266	0.1918242794
267	0.1917559971
268	0.1916640079
269	0.1915358804
270	0.1914407022
271	0.1914090263
272	0.1913197596
273	0.1912692989
274	0.1912045977
275	0.1911043192
276	0.1910530251
277	0.1909970807
278	0.1909165939
279	0.1908550002
280	0.1908458311
281	0.1908126422
282	0.1907299427
283	0.1906669932
284	0.1905700899
285	0.1904748807
286	0.1904150254
287	0.1903357347
288	0.1902336369
289	0.1901413667
290	0.1900536715
291	0.1900405208
292	0.1900382162
293	0.1899747502
294	0.1898988539
295	0.1898935732
296	0.1898141778
297	0.1897548978
298	0.1896583175
299	0.1895752465
300	0.1895698484
301	0.1895004728
302	0.1894240131
303	0.1893892139
304	0.18931624
305	0.1892444339
306	0.1891821554
307	0.1891139688
308	0.1890543561
309	0.1889685651
310	0.188883782
311	0.1888191463
312	0.1887441315
313	0.1886781254
314	0.1886744538
315	0.1885287603
316	0.1885135217
317	0.1884641373
318	0.18839898
319	0.1883965943
320	0.1883371343
321	0.1882886981
322	0.1882196454
323	0.1881610944
324	0.1881167118
325	0.1879960936
326	0.1879329894
327	0.1878320633
328	0.187788352
329	0.1877000298
330	0.187642681
331	0.1875288081
332	0.1874594891
333	0.1874067386
334	0.1874061137
335	0.1874026637
336	0.1873480936
337	0.1873002358
338	0.1872552909
339	0.1872019134
340	0.1871166721
341	0.1870526528
342	0.1869746416
343	0.1868993269
344	0.1868089364
345	0.1867824957
346	0.1867295552
347	0.186656
348	0.1866044234
349	0.186586306
350	0.1865575723
351	0.1864952161
352	0.1864051018
353	0.186356322
354	0.1863130554
355	0.1863077831
356	0.1862961075
357	0.1862700025
358	0.1862387292
359	0.1861768337
360	0.186105288
361	0.1860028261
362	0.1859461452
363	0.1858821336
364	0.1858187798
365	0.1857517548
366	0.1857088577
367	0.185633891
368	0.1855864708
369	0.1855686696
370	0.1855101408
371	0.1853481138
372	0.1852829335
373	0.1852772915
374	0.1851740866
375	0.1851688711
376	0.1851526803
377	0.1850697746
378	0.1849944488
379	0.1849736023
380	0.1849257425
381	0.1849067306
382	0.1848203404
383	0.184776815
384	0.1847305505
385	0.1846751856
386	0.1845966227
387	0.1845879653
388	0.1845360501
389	0.1845313403
390	0.1844861845
391	0.1844480812
392	0.1843714798
393	0.1843696032
394	0.1842996271
395	0.184255287
396	0.1841958526
397	0.1841319398
398	0.1840578361
399	0.18400017
400	0.1839482628
401	0.1839026624
402	0.1837518584
403	0.1837026095
404	0.1836805584
405	0.183594567
406	0.1835139666
407	0.1834484898
408	0.1833791009
409	0.1833202468
410	0.1832944974
411	0.1832459468
412	0.1832244662
413	0.1831585957
414	0.1831040044
415	0.183042896
416	0.1830280309
417	0.1829494707
418	0.1828849368
419	0.1828106407
420	0.1827402605
421	0.1826847458
422	0.182615568
423	0.1826081171
424	0.1825315446
425	0.1825199747
426	0.1824286621
427	0.1824081036
428	0.1823496387
429	0.1822880491
430	0.1822189919
431	0.1821845655
432	0.1821702373
433	0.1821249427
434	0.1820824861
435	0.1820307507
436	0.1819924968
437	0.1819139728
438	0.1818615302
439	0.1817882636
440	0.1817394856
441	0.1816959167
442	0.181642244
443	0.1815360984
444	0.1814883303
445	0.1814393176
446	0.1814377405
447	0.1813750608
448	0.1813209229
449	0.1812516743
450	0.1812053998
451	0.1811440556
452	0.1810738098
453	0.1810297344
454	0.1809664758
455	0.1809001451
456	0.1808528952
457	0.1808232207
458	0.1807244023
459	0.1806312729
460	0.1805824058
461	0.1805281404
462	0.180527415
463	0.1805146311
464	0.1805118794
465	0.1804621722
466	0.180424592
467	0.1804025523
468	0.1803631605
469	0.1803105509
470	0.1802171562
471	0.1801374887
472	0.1800853782
473	0.1800779136
474	0.1799932618
475	0.1799272506
476	0.1798966298
477	0.1798410654
478	0.1797635672
479	0.1796941673
480	0.1796463201
481	0.1795663824
482	0.1795388232
483	0.179503517
484	0.1795021842
485	0.1794345704
486	0.1794042875
487	0.1793919662
488	0.1793278641
489	0.1793012578
490	0.1792597141
491	0.1792066352
492	0.1791739319
493	0.1791082417
494	0.1790421693
495	0.1789662203
496	0.1789417185
497	0.1788688911
498	0.1788483384
499	0.1787786931
500	0.1787258121
501	0.1787257761
502	0.1786783037
503	0.1786310976
504	0.1785530931
505	0.1785090861
506	0.178450325
507	0.1783953306
508	0.1783337874
509	0.1782997674
510	0.1782647794
511	0.1782279913
512	0.1781456554
513	0.1780636408
514	0.1779937912
515	0.1779551323
516	0.1779180407
517	0.1778781271
518	0.1778246243
519	0.1777960088
520	0.1777790727
521	0.177746013
522	0.1777172146
523	0.1776577439
524	0.1775905531
525	0.177527781
526	0.1775121803
527	0.1774450739
528	0.1774441465
529	0.1774375854
530	0.1773824735
531	0.1773369985
532	0.1773369813
533	0.1773351609
534	0.1772782662
535	0.1772375372
536	0.177193477
537	0.1771485095
538	0.17712286
539	0.177096112
540	0.1769983498
541	0.176952259
542	0.1769420714
543	0.1768911463
544	0.1768174461
545	0.1767711643
546	0.176725729
547	0.1766818213
548	0.1766110464
549	0.1766104615
550	0.1765251757
551	0.1764834806
552	0.1764625965
553	0.1764173448
554	0.1763516883
555	0.1763447485
556	0.1762885833
557	0.1762686383
558	0.1762448989
559	0.1762116383
560	0.1761422467
561	0.1760873559
562	0.1760224421
563	0.1760130922
564	0.1760130582
565	0.1759908992
566	0.1759277101
567	0.1758542273
568	0.175801648
569	0.175797955
570	0.1757591945
571	0.1757241459
572	0.175684284
573	0.1756229492
574	0.1755996913
575	0.1755562127
576	0.1755362062
577	0.1754791806
578	0.1754262299
579	0.1753919083
580	0.1753348141
581	0.1752583923
582	0.1751980447
583	0.1751187047
584	0.1750783477
585	0.1750315146
586	0.1750315051
587	0.174968635
588	0.1749321746
589	0.1749060378
590	0.1748477296
591	0.1747964422
592	0.1747810651
593	0.1747625683
594	0.1747177103
595	0.1746645085
596	0.1746424471
597	0.1745937706
598	0.1745564926
599	0.174551313
600	0.1745508999
601	0.1744931243
602	0.1744573406
603	0.1743755864
604	0.1743717133
605	0.1743717139
606	0.1743677837
607	0.1743662073
608	0.1743180433
609	0.1742858996
610	0.1742582026
611	0.1741996082
612	0.1741433817
613	0.174142673
614	0.1741422269
615	0.1741026136
616	0.1741012442
617	0.1740869239
618	0.1740567213
619	0.1739875155
620	0.1739326679
621	0.1739026342
622	0.1738547759
623	0.1738103869
624	0.1737752161
625	0.1737340537
626	0.1736607177
627	0.1736275001
628	0.1735734855
629	0.1735317039
630	0.1734711953
631	0.1734218826
632	0.1733570869
633	0.1733201736
634	0.1732900494
635	0.1732726541
636	0.1732198972
637	0.1731258044
638	0.1729845135
639	0.172938936
640	0.1728885528
641	0.1728267478
642	0.1727882112
643	0.1727881599
644	0.1727440473
645	0.1727386291
646	0.1726906791
647	0.172659753
648	0.1726288245
649	0.1725996088
650	0.172544065
651	0.1725023631
652	0.1724884274
653	0.1724384519
654	0.1723926516
655	0.1723053888
656	0.1722643833
657	0.172219647
658	0.1721664147
659	0.1721425909
660	0.172113384
661	0.1720578131
662	0.1720182279
663	0.1719685393
664	0.1718728672
665	0.1718495786
666	0.1718045276
667	0.1717384253
668	0.1717257138
669	0.1716762161
670	0.1716313135
671	0.1716173431
672	0.171617029
673	0.171612231
674	0.1715579236
675	0.1715332969
676	0.1714783153
677	0.1714384409
678	0.1714222367
679	0.1713526764
680	0.1713131031
681	0.1712787613
682	0.1712435029
683	0.1712395537
684	0.1712073506
685	0.1711543967
686	0.1711400382
687	0.1711011353
688	0.171053095
689	0.1710157564
690	0.1710021277
691	0.1709566039
692	0.1709277489
693	0.1708804637
694	0.1708333378
695	0.1708082337
696	0.1707525591
697	0.1707232576
698	0.1706804546
699	0.1706361355
700	0.1705714817
701	0.1705408254
702	0.1704697652
703	0.1704486962
704	0.1704275576
705	0.1704076232
706	0.1703558714
707	0.1703350219
708	0.1703236574
709	0.170312949
710	0.1703122907
711	0.1702400739
712	0.1701983679
713	0.1701942323
714	0.1701518338
715	0.1701122489
716	0.1700407527
717	0.1699941131
718	0.169936399
719	0.1699151837
720	0.169848342
721	0.1698156156
722	0.1697608956
723	0.1697133191
724	0.1696616111
725	0.1696127365
726	0.1695729623
727	0.1695668194
728	0.1694665489
729	0.1694145884
730	0.1693852783
731	0.1693433066
732	0.1692849702
733	0.1692551133
734	0.1691964851
735	0.1691382154
736	0.1691095096
737	0.1690711419
738	0.1690379249
739	0.1689859666
740	0.1689518778
741	0.1689094094
742	0.1688993208
743	0.1688553236
744	0.1688224726
745	0.1687611828
746	0.1687587909
747	0.1687042511
748	0.1686578737
749	0.168602585
750	0.1685499789
751	0.1684859034
752	0.1684434788
753	0.1684434781
754	0.1683984644
755	0.168392117
756	0.1683571117
757	0.1683534986
758	0.1683199909
759	0.1682588451
760	0.1682340048
761	0.168149777
762	0.1681108122
763	0.168072626
764	0.1680155727
765	0.1679980504
766	0.1679454075
767	0.1679073683
768	0.1678748838
769	0.1678362326
770	0.1677923656
771	0.1677438785
772	0.1677434954
773	0.1676984618
774	0.1676453883
775	0.167599983
776	0.1675957151
777	0.1675642841
778	0.1675230734
779	0.1674940935
780	0.1674395854
781	0.167399867
782	0.167387739
783	0.1673631519
784	0.1673212903
785	0.1672744068
786	0.1672320908
787	0.1672237904
788	0.1671676326
789	0.1671313466
790	0.1671147309
791	0.1670837636
792	0.1670516976
793	0.1670229555
794	0.1669780799
795	0.166942662
796	0.1668449662
797	0.1668449395
798	0.166814213
799	0.1667909262
800	0.1667909161
801	0.1667545452
802	0.1667045116
803	0.166656401
804	0.1666119572
805	0.1665813115
806	0.1665168658
807	0.1664774744
808	0.1664692046
809	0.1664691853
810	0.1664151735
811	0.1663774617
812	0.1663465848
813	0.1663211863
814	0.1662764684
815	0.1662486795
816	0.1661932833
817	0.166154009
818	0.1661123316
819	0.1660416489
820	0.1659960554
821	0.1659602572
822	0.1658992751
823	0.1658635869
824	0.1658495886
825	0.1657966843
826	0.1657348938
827	0.1657051975
828	0.1656734028
829	0.1656728473
830	0.165615067
831	0.165577988
832	0.1655499972
833	0.1655113036
834	0.1654762038
835	0.1654319371
836	0.1653887256
837	0.1653589693
838	0.1653016841
839	0.1652621855
840	0.1652058654
841	0.1651899245
842	0.1651652199
843	0.1651489338
844	0.1651274732
845	0.1650995287
846	0.1650740053
847	0.1650190882
848	0.1649758627
849	0.1649609868
850	0.1649176385
851	0.1648811772
852	0.1648300967
853	0.1647833204
854	0.1647432991
855	0.1647232595
856	0.1647008014
857	0.1646679504
858	0.1646373991
859	0.1646075269
860	0.1645722503
861	0.1645052312
862	0.1644828751
863	0.1644750736
864	0.164475049
865	0.1644404151
866	0.1643872336
867	0.1643659684
868	0.164315003
869	0.1642714097
870	0.1642412032
871	0.1642131006
872	0.1640763571
873	0.1640326938
874	0.1639757568
875	0.1639752462
876	0.1639633238
877	0.1639423059
878	0.1639033499
879	0.163902522
880	0.1638992869
881	0.1638544744
882	0.1638185166
883	0.1638174633
884	0.1638054123
885	0.163757629
886	0.1637259535
887	0.1636926698
888	0.1636340111
889	0.1636012143
890	0.16356721
891	0.1635200922
892	0.1634814444
893	0.1634550881
894	0.1634256738
895	0.1633644421
896	0.1633216024
897	0.1632921067
898	0.1632572632
899	0.1632226047
900	0.1631697726
901	0.1631220974
902	0.1630979946
903	0.1630400141
904	0.1630393316
905	0.1630389382
906	0.1630024729
907	0.1629722085
908	0.1629394294
909	0.1629378997
910	0.1628767233
911	0.1628637086
