iter	Passed	Remaining
403	9186	13552
404	9208	13528
405	9229	13503
406	9253	13482
407	9276	13459
408	9298	13436
409	9321	13414
410	9344	13391
411	9367	13369
412	9390	13346
413	9412	13322
414	9433	13298
415	9456	13275
416	9478	13252
417	9502	13230
418	9525	13208
419	9549	13186
420	9571	13163
421	9593	13140
422	9615	13116
423	9638	13093
424	9660	13070
425	9682	13046
426	9705	13023
427	9726	12998
428	9749	12976
429	9771	12953
430	9794	12930
431	9816	12907
432	9839	12884
433	9861	12861
434	9884	12838
435	9905	12813
436	9928	12790
437	9950	12767
438	9973	12744
439	9995	12720
440	10016	12697
441	10040	12675
442	10060	12649
443	10083	12627
444	10105	12604
445	10127	12579
446	10149	12556
447	10171	12533
448	10194	12510
449	10216	12487
450	10239	12464
451	10261	12441
452	10284	12418
453	10306	12395
454	10327	12370
455	10350	12347
456	10372	12324
457	10393	12300
458	10416	12277
459	10438	12253
460	10461	12231
461	10483	12208
462	10506	12185
463	10529	12163
464	10551	12139
465	10574	12117
466	10596	12093
467	10618	12070
468	10641	12047
469	10664	12025
470	10686	12002
471	10709	11980
472	10732	11958
473	10755	11935
474	10778	11912
475	10799	11888
476	10821	11865
477	10843	11841
478	10866	11819
479	10889	11796
480	10911	11773
481	10933	11750
482	10954	11725
483	10978	11704
484	11000	11681
485	11024	11659
486	11047	11636
487	11069	11614
488	11091	11590
489	11113	11566
490	11135	11543
491	11158	11521
492	11181	11499
493	11203	11475
494	11226	11452
495	11249	11431
496	11272	11408
497	11292	11383
498	11315	11360
499	11336	11336
500	11359	11313
501	11381	11290
502	11404	11268
503	11427	11245
504	11450	11223
505	11473	11200
506	11496	11178
507	11518	11155
508	11540	11132
509	11563	11109
510	11585	11086
511	11607	11063
512	11630	11041
513	11652	11017
514	11676	10995
515	11699	10973
516	11721	10950
517	11743	10927
518	11766	10904
519	11788	10881
520	11811	10859
521	11835	10838
522	11859	10816
523	11882	10793
524	11906	10772
525	11928	10749
526	11950	10726
527	11974	10704
528	11994	10679
529	12017	10657
530	12040	10634
531	12063	10612
532	12085	10589
533	12108	10566
534	12130	10543
535	12152	10519
536	12176	10498
537	12197	10474
538	12219	10451
539	12240	10427
540	12262	10404
541	12285	10381
542	12308	10358
543	12329	10334
544	12351	10311
545	12374	10289
546	12396	10266
547	12418	10243
548	12441	10220
549	12463	10197
550	12485	10174
551	12508	10151
552	12530	10128
553	12553	10106
